NAME,POS,TEAM,GP,MPG,Z_PTS,Z_REB,Z_AST,Z_STL,Z_BLK,Z_X3PM,Z_FG.,Z_FT.,Z_TO,Z_AVG
Clint Capela,PF/C,HOU,74,26,0.247,0.684,-0.383,0.529,0.949,-0.736,1.627,-2.348,0.101,0.074
Cody Zeller,PF/C,CHA,65,26,-0.267,-0.148,0.118,0.881,-0.126,-0.736,0.181,0.017,0.685,0.067
Dwight Howard,PF/C,CHA,70,28,0.171,1.516,-0.183,0.529,0.411,-0.736,1.627,-1.875,-1.067,0.044
Enes Kanter,C,NYK,74,26,1.178,0.646,-0.484,-0.529,-0.664,-0.438,0.342,0.963,-0.775,0.027
Greg Monroe,PF/C,MIL,76,23,0.247,-0.034,0.62,0.881,-0.664,-0.736,-0.14,0.395,-0.337,0.026
Dewayne Dedmon,C,ATL,65,24,-0.742,0.722,-0.684,0.176,0.232,-0.736,0.984,0.017,0.247,0.024
Jonas Valanciunas,C,TOR,77,26,0.304,0.76,-0.684,-0.881,-0.126,-0.736,0.502,0.774,0.101,0.001
Willie Cauley-Stein,PF/C,SAC,72,26,-0.096,-0.224,-0.283,0.881,-0.126,-0.736,0.502,-0.361,0.393,-0.005
Derrick Favors,PF/C,UTA,65,27,0.247,0.117,-0.183,0.529,0.232,-0.736,-0.14,-0.172,-0.045,-0.017
Lucas Nogueira,PF/C,TOR,57,18,-1.293,-1.055,-0.785,0.529,0.591,-0.736,2.109,-0.361,0.831,-0.019
Steven Adams,C,OKC,78,30,-0.058,0.457,-0.183,0.881,0.053,-0.736,0.824,-1.213,-0.337,-0.034
Patrick Patterson,PF/C,OKC,72,26,-0.685,-0.715,-0.183,0.529,-1.023,1.792,-1.586,0.585,0.977,-0.034
Marcin Gortat,C,WAS,78,28,-0.172,0.798,0.018,-0.529,0.053,-0.736,0.663,-0.361,-0.045,-0.035
Tyson Chandler,C,PHO,65,25,-0.704,1.024,-0.584,-0.176,-0.485,-0.736,1.627,-0.267,-0.045,-0.038
Thon Maker,PF/C,MIL,70,24,-0.153,-0.791,-0.283,-0.529,0.053,1.494,-0.782,-0.456,0.977,-0.052
Jon Leuer,PF/C,DET,74,25,-0.229,-0.413,0.118,-0.529,-1.023,0.751,-0.782,1.057,0.539,-0.057
Mike Muscala,PF/C,ATL,64,22,-0.609,-1.018,0.018,-0.176,-0.306,0.751,-0.622,0.679,0.539,-0.083
