NAME,POS,TEAM,GP,MPG,Z_PTS,Z_REB,Z_AST,Z_STL,Z_BLK,Z_X3PM,Z_FG.,Z_FT.,Z_TO,Z_AVG
Markieff Morris,SF/PF,WAS,74,31,0.519,0.145,0.098,0.986,-0.333,0.381,-0.57,0.77,-0.872,0.125
Clint Capela,PF/C,HOU,74,26,0.195,1.239,-0.522,0.098,1.504,-1.114,2.566,-3.008,0.102,0.118
Dwight Howard,PF/C,CHA,70,28,0.119,2.286,-0.367,0.098,0.892,-1.114,2.566,-2.453,-1.011,0.113
Nikola Mirotic,SF/PF,CHI,70,28,0.157,0.098,-0.289,0.098,0.076,1.875,-1.492,0.659,-0.177,0.112
James Johnson,SF/PF,MIA,71,28,0.024,-0.568,1.028,0.69,0.892,0.516,-0.201,-0.563,-0.872,0.105
Ben Simmons,SF/PF,PHI,72,30,0.062,1.001,1.571,1.283,-0.537,-0.979,-0.017,-0.563,-1.011,0.09
Larry Nance,PF,LAL,64,24,-0.718,0.098,-0.289,1.579,-0.333,-0.979,0.721,-0.119,0.797,0.084
Aaron Gordon,SF/PF,ORL,77,29.5,0.195,0.002,0.253,0.394,-0.333,0.109,-0.201,-0.119,0.38,0.076
Cody Zeller,PF/C,CHA,65,26,-0.319,0.193,-0.134,0.394,0.28,-1.114,0.906,-0.23,0.658,0.07
Ryan Anderson,PF/C,HOU,67,29,0.462,-0.426,-0.599,-0.791,-0.945,2.147,-1.308,1.215,0.658,0.046
Jae Crowder,SF/PF,CLE,74,25,-0.147,-0.949,-0.057,0.69,-0.945,0.924,-0.754,0.881,0.658,0.033
Al-Farouq Aminu,SF/PF,POR,70,29,-0.433,0.478,-0.134,0.69,-0.129,1.06,-1.308,0.103,-0.038,0.032
Lucas Nogueira,PF/C,TOR,57,18,-1.347,-0.949,-0.832,0.098,1.096,-1.114,3.119,-0.675,0.797,0.021
Greg Monroe,PF/C,MIL,76,23,0.195,0.335,0.253,0.394,-0.333,-1.114,0.537,0.214,-0.316,0.018
Derrick Favors,PF/C,UTA,65,27,0.195,0.526,-0.367,0.098,0.688,-1.114,0.537,-0.452,-0.038,0.008
Willie Cauley-Stein,PF/C,SAC,72,26,-0.147,0.098,-0.444,0.394,0.28,-1.114,1.274,-0.675,0.38,0.005
Wilson Chandler,SF/PF,DEN,70,28.5,0.31,-0.188,-0.134,-0.198,-0.741,1.196,-0.754,0.103,0.241,-0.018
Julius Randle,PF,LAL,75,29.5,0.329,1.667,0.951,-0.198,-0.537,-0.979,-0.201,-0.23,-1.15,-0.039
Thaddeus Young,SF/PF,IND,75,29.5,0.005,0.098,-0.057,1.875,-0.741,-0.435,0.352,-1.452,-0.038,-0.044
JaMychal Green,PF,MEM,77,28,-0.357,0.335,-0.444,-0.198,-0.537,-0.163,-0.017,0.881,0.102,-0.044
Jon Leuer,PF/C,DET,74,25,-0.281,-0.14,-0.134,-0.791,-0.741,0.245,-0.201,0.992,0.519,-0.059
Thon Maker,PF/C,MIL,70,24,-0.204,-0.616,-0.444,-0.791,0.484,0.924,-0.201,-0.786,0.936,-0.078
Dario Saric,SF/PF,PHI,80,26,0.405,0.098,0.486,0.098,-0.741,0.652,-1.123,0.659,-1.29,-0.084
Gorgui Dieng,PF/C,MIN,76,22,-0.852,-0.235,-0.289,-0.198,0.28,-0.979,0.352,0.881,0.241,-0.089
Patrick Patterson,PF/C,OKC,72,26,-0.737,-0.521,-0.367,0.098,-0.741,1.196,-1.123,0.437,0.936,-0.091
Skal Labissiere,PF/C,SAC,65,24,0.271,0.145,-0.289,-0.495,-0.537,-0.571,0.906,-0.008,-0.316,-0.099
Mike Muscala,PF/C,ATL,64,22,-0.661,-0.901,-0.212,-0.495,0.076,0.245,-0.017,0.548,0.519,-0.1
Marquese Chriss,PF,PHO,80,26,0.081,-0.568,-0.599,0.69,0.484,0.652,-0.57,-0.897,-0.316,-0.116
Alex Len,PF/C,PHO,76,25,-0.3,0.954,-0.522,-0.495,1.3,-1.114,-0.201,-0.119,-0.594,-0.121
Rudy Gay,SF/PF,SAS,67,26,0.233,-0.806,-0.057,0.098,-0.741,0.245,-0.754,0.992,-0.316,-0.123
DeMarre Carroll,SF/PF,BKN,67,26,-0.471,-0.854,-0.444,1.283,-0.945,0.924,-1.308,-0.23,0.797,-0.139
Tristan Thompson,PF/C,CLE,79,28.5,-0.642,1.287,-0.754,-0.791,0.076,-1.114,1.643,-1.786,0.658,-0.158
Marcus Morris,SF/PF,BOS,79,29,0.119,-0.711,0.176,-0.198,-0.945,0.788,-1.123,0.103,0.241,-0.172
Justise Winslow,SF/PF,MIA,75,31,-0.49,-0.283,0.331,0.986,-0.741,-0.299,-0.939,-0.119,-0.038,-0.177
Frank Kaminsky,PF/C,CHA,75,24.5,-0.204,-0.806,0.098,-0.495,-0.537,0.652,-1.492,0.437,0.658,-0.188
Zach Randolph,PF/C,SAC,70,24,0.271,0.668,-0.134,-0.495,-1.353,-0.707,-0.385,0.326,0.102,-0.19
Taj Gibson,PF/C,MIN,75,26,-0.338,0.05,-0.444,-0.495,0.28,-1.114,0.352,-0.341,0.241,-0.201
Jonathan Isaac,PF,ORL,72,24,-0.566,-0.14,-0.599,0.098,0.076,-0.435,-0.754,0.214,0.241,-0.207
Chandler Parsons,SF/PF,MEM,50,24,-0.3,-1.282,0.098,-0.495,-1.149,0.924,-0.385,-0.008,0.519,-0.231
Zach Collins,PF/C,POR,72,18,-0.795,-0.521,-1.064,-0.791,0.688,-0.843,1.09,-0.008,0.102,-0.238
