NAME,POS,TEAM,GP,MPG,Z_PTS,Z_REB,Z_AST,Z_STL,Z_BLK,Z_X3PM,Z_FG.,Z_FT.,Z_TO,Z_AVG
Goran Dragic,PG/SG,MIA,73,32.5,0.82,0.08,1.53,0.101,-0.629,-0.158,1.32,-0.28,-1.398,0.154
Seth Curry,PG/SG,DAL,70,27,-0.087,-1.01,0.005,0.101,-1.161,0.833,1.32,0.96,0.339,0.144
Patrick Beverley,PG/SG,LAC,68,29.5,-0.55,0.898,0.49,0.717,-0.096,0.55,-0.403,-0.693,0.339,0.139
Dwyane Wade,PG/SG,CLE,62,27.5,0.839,0.353,0.698,0.409,1.501,-1.574,0.286,-0.004,-1.253,0.139
J.J. Redick,SG,PHI,75,30,0.608,-1.101,-0.896,-0.821,-1.161,1.682,0.975,1.236,0.628,0.128
Jamal Murray,PG/SG,DEN,78,28,0.164,-0.101,-0.133,-0.206,0.436,0.55,-0.748,1.236,-0.24,0.106
Jeremy Lin,PG/SG,BKN,67,27.5,0.28,0.08,1.183,0.101,0.969,-0.3,-0.403,0.271,-1.253,0.103
Kent Bazemore,SG/SF,ATL,72,28,-0.318,0.625,-0.272,0.717,1.501,-0.017,-0.403,-0.693,-0.24,0.1
Kris Dunn,PG/SG,CHI,78,31,-0.781,0.716,1.252,2.562,3.099,-1.432,-1.092,-2.347,-1.108,0.097
Devin Booker,SG,PHO,77,35,1.766,-0.192,0.49,-0.206,-0.096,0.408,-0.059,0.685,-1.977,0.091
D'Angelo Russell,PG/SG,BKN,75,29.5,0.685,0.08,1.183,1.332,-0.629,0.974,-0.748,-0.28,-1.832,0.085
Tyler Johnson,PG/SG,MIA,72,26,-0.202,-0.011,-0.133,-0.206,0.436,-0.3,0.286,0.133,0.628,0.07
Rodney Hood,SG/SF,UTA,70,31,0.28,-0.011,-0.272,-0.206,-0.096,0.833,-0.748,0.409,0.339,0.059
Allen Crabbe,PG/SG,BKN,78,27,-0.222,-0.556,-1.034,-0.821,-0.629,0.267,1.32,1.098,1.062,0.054
Eric Gordon,SG,HOU,72,29,0.319,-1.01,-0.203,-0.821,0.436,1.966,-1.092,0.822,0.049,0.052
Danny Green,SG/SF,SAS,75,26.5,-0.955,0.08,-0.618,0.101,2.566,0.408,-1.782,-0.142,0.773,0.048
Tim Hardaway Jr,SG/SF,NYK,73,32,0.647,-0.192,-0.272,-0.821,-0.629,1.116,-0.059,0.271,0.339,0.044
Andre Roberson,SG/SF,OKC,72,29.5,-1.128,1.261,-1.242,0.409,3.099,-0.866,1.32,-3.863,1.207,0.022
C.J. Miles,SG/SF,TOR,71,26,-0.222,-0.374,-1.311,-0.514,0.436,1.258,-0.748,0.409,1.207,0.016
Tony Allen,SG/SF,MEM,65,26.1,-0.685,1.534,-1.034,2.562,0.436,-1.432,0.975,-2.485,0.194,0.007
Wesley Matthews,SG/SF,DAL,72,33,-0.029,0.08,-0.272,0.101,-0.629,1.116,-1.437,0.547,0.483,-0.004
Will Barton,SG/SF,DEN,72,25,-0.087,0.807,-0.133,-0.514,-0.096,-0.158,-0.059,-0.004,0.049,-0.022
Evan Fournier,SG/SF,ORL,71,32,0.685,-0.556,-0.064,0.101,-1.694,0.691,0.286,0.547,-0.24,-0.027
Jaylen Brown,SG/SF,BOS,80,28,-0.144,0.898,-0.826,-0.514,0.436,-0.583,0.975,-0.969,0.339,-0.043
Andre Iguodala,SG/SF,GSW,70,25,-1.148,0.08,0.213,0.101,0.436,-1.008,1.664,-1.658,0.918,-0.045
Courtney Lee,SG/SF,NYK,75,27,-0.781,-0.647,-0.688,-0.206,-0.096,-0.724,0.63,0.96,1.062,-0.054
James Ennis,SG/SF,MEM,64,25,-0.878,0.535,-1.104,-0.514,0.436,-0.3,0.63,-0.142,0.773,-0.063
Buddy Hield,SG,SAC,80,30,0.241,0.535,-0.618,-1.129,-1.161,1.116,-0.059,0.547,-0.095,-0.069
Kentavious Caldwell-Pope,SG,LAL,79,30,0.029,-0.374,-0.48,0.717,-0.629,0.267,-1.092,0.271,0.628,-0.074
Delon Wright,PG/SG,TOR,70,20,-1.013,-1.192,-0.203,0.717,1.501,-1.432,0.286,-0.142,0.773,-0.078
Lou Williams,PG/SG,LAC,77,25,0.55,-1.101,-0.203,-0.206,-0.629,0.267,-0.403,0.96,-0.095,-0.096
Tyreke Evans,SG/SF,MEM,60,25,-0.125,0.444,1.391,-0.206,-0.096,-0.724,-0.059,-0.831,-0.674,-0.098
Norman Powell,SG/SF,TOR,75,26,-0.087,-0.192,-0.757,0.101,-0.096,-0.3,-0.059,0.133,0.339,-0.102
P.J. Tucker,SG/SF,HOU,78,26.6,-1.071,1.988,-0.826,1.024,-0.629,-0.583,-1.092,-0.693,0.773,-0.123
Kyle Anderson,SG/SF,SAS,70,20,-1.36,0.444,-0.618,0.101,0.969,-1.716,0.286,-0.28,1.062,-0.124
Bogdan Bogdanovic,SG,SAC,70,26,-0.318,-0.011,0.213,-0.206,0.436,-0.3,-0.059,-0.556,-0.385,-0.132
Caris LeVert,SG/SF,BKN,70,25,-0.453,0.444,-0.272,-0.206,-1.161,-0.158,0.63,-0.556,0.483,-0.139
Darren Collison,PG/SG,IND,64,26,-0.183,-1.374,0.629,-0.206,-1.161,-0.724,0.975,0.685,0.049,-0.146
Josh Jackson,SG/SF,PHO,72,25,-0.492,1.443,-0.341,0.101,1.501,-1.432,0.63,-2.485,-0.385,-0.162
Reggie Jackson,PG/SG,DET,74,27.5,0.415,-0.647,1.738,-0.821,-1.161,-0.441,-0.403,0.96,-1.108,-0.163
Joe Ingles,SG/SF,UTA,79,27.5,-0.878,-0.011,0.074,1.024,-1.161,0.267,-0.059,-0.831,0.049,-0.169
Jeremy Lamb,SG/SF,CHA,62,18,-0.627,0.171,-1.104,-1.437,0.436,-0.724,0.286,0.271,1.207,-0.169
Glenn Robinson III,SG/SF,IND,68,24.5,-0.743,0.171,-1.242,-0.514,0.436,-0.866,0.975,-0.969,1.207,-0.172
Milos Teodosic,SG,LAC,70,25,-0.26,-1.101,1.53,-1.129,-0.096,0.125,-0.059,-0.28,-0.53,-0.2
Evan Turner,SG/SF,POR,74,26,-0.608,0.535,0.629,-0.514,-0.096,-1.574,-0.059,0.271,-0.385,-0.2
E'Twaun Moore,PG/SG,NOR,72,27,-0.646,-1.01,-0.341,-0.514,0.969,-0.583,0.63,-1.107,0.773,-0.203
Ian Clark,PG/SG,NOR,74,22,-0.492,-1.101,-0.48,-0.514,-0.629,-0.3,1.32,-0.142,0.483,-0.206
