NAME,POS,TEAM,GP,MPG,Z_PTS,Z_REB,Z_AST,Z_STL,Z_BLK,Z_X3PM,Z_FG.,Z_FT.,Z_TO,Z_AVG
Ian Clark,PG/SG,NOR,74,22,-0.787,-0.942,-1.17,-0.844,-0.602,-0.301,1.356,-0.255,0.969,-0.286
E'Twaun Moore,PG/SG,NOR,72,27,-0.925,-0.864,-1.08,-0.844,1.003,-0.556,0.585,-1.208,1.187,-0.3
Patty Mills,PG,SAS,77,26,-0.7,-1.019,-0.447,-0.575,-1.137,0.721,-0.571,0.153,0.86,-0.302
Reggie Jackson,PG/SG,DET,74,27.5,0.027,-0.555,0.277,-1.112,-1.137,-0.429,-0.571,0.834,-0.23,-0.322
Jordan Clarkson,PG/SG,LAL,78,26,-0.285,-0.555,-1.08,-0.575,-1.137,-0.046,-0.186,0.153,0.642,-0.341
Cory Joseph,PG,IND,78,25,-0.856,-0.477,-0.627,-0.844,-0.602,-1.067,0.585,-0.391,0.86,-0.38
Yogi Ferrell,PG,DAL,70,25,-0.735,-0.864,-0.492,-0.575,-0.602,-0.173,-1.343,0.289,0.751,-0.416
Dennis Smith,PG,DAL,72,29,-0.648,-0.167,-0.13,-0.038,-0.067,-0.939,-0.957,-1.208,0.097,-0.451
Jordan Crawford,PG/SG,NOR,66,18,-0.683,-1.639,-1.17,-1.918,-1.137,0.082,1.356,-0.255,1.187,-0.464
Sean Kilpatrick,PG/SG,BKN,70,20,-0.562,-0.477,-1.351,-1.649,-1.137,-0.301,-0.186,0.698,0.642,-0.48
Dejounte Murray,PG,SAS,70,22,-0.787,-0.555,-0.537,-1.381,0.468,-1.067,0.2,-1.072,-0.557,-0.587
Austin Rivers,PG/SG,LAC,71,26,-0.631,-1.019,-0.944,-0.844,-1.137,-0.301,-0.186,-1.208,0.86,-0.601
Matthew Dellavedova,PG/SG,MIL,74,27,-1.115,-0.942,0.051,-1.112,-1.137,-0.301,-1.728,0.425,0.424,-0.604
Ish Smith,PG,DET,74,21,-1.133,-0.632,-0.04,-1.112,-0.067,-1.45,-0.957,-1.48,0.751,-0.68
Jerian Grant,PG/SG,CHI,70,18,-1.288,-1.174,-1.08,-1.112,-0.602,-1.195,-1.343,0.425,1.187,-0.687
De'Aaron Fox,PG,SAC,72,24,-0.908,-0.632,-0.673,-0.575,-1.137,-1.706,-0.186,-1.072,0.642,-0.694
Andrew Harrison,PG/SG,MEM,72,21,-1.323,-1.174,-0.718,-1.112,-0.067,-1.195,-3.27,-0.119,0.969,-0.89
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
