Player.Name,Position,Team,GP,MIN,Z_PTS,Z_REB,Z_AST,Z_BLK,Z_STL,Z_FGP,Z_FTP,Z_X3PM,Z_TO,Z_AVG,Tier
Serge Ibaka,PFC,ORL,81,32.6,0.552,0.324,-0.673,2.3,-0.51,-0.07,0.435,0.649,-0.224,0.309,4
Nerlens Noel,PFC,PHI,75,31.3,0.042,0.767,0.288,1.472,2.593,0.516,-1.168,-0.863,-1.274,0.264,4
Chandler Parsons,SFPF,MEM,76,34.2,0.898,-0.482,1.089,-0.805,0.524,0.028,-0.147,1.858,-0.674,0.254,4
Harrison Barnes,SFPF,DAL,80,32.9,1.062,-0.039,0.528,-1.012,0.007,-0.402,0.302,1.253,0.076,0.197,4
Rudy Gay,SFPF,SAC,76,34.8,1.317,0.203,0.689,-0.184,1.817,-0.402,0.803,0.8,-1.424,0.402,5
Dirk Nowitzki,PFC,DAL,80,30,1.19,0.122,0.048,-0.391,-0.251,-0.519,1.712,1.404,0.227,0.393,5
Robert Covington,SFPF,PHI,76,28.1,0.515,-0.281,-0.193,-0.391,1.817,-1.573,0.925,3.067,-0.824,0.34,5
Myles Turner,PFC,IND,79,25.3,0.279,0.485,-0.593,2.093,-0.51,0.379,0.149,-0.711,-0.074,0.166,5
Aaron Gordon,SFPF,ORL,79,25.1,0.115,0.445,0.208,0.023,0.524,-0.148,-0.423,-0.107,0.527,0.129,5
Marvin Williams,SFPF,CHA,78,30.1,0.151,0.203,-0.193,0.437,0.266,-0.714,0.915,1.858,0.527,0.383,6
Dwight Howard,PFC,ATL,78,31.9,0.934,2.259,-0.032,2.093,0.524,2.292,-2.2,-0.863,-1.874,0.348,6
Ryan Anderson,PFC,HOU,70,28.2,0.88,0.405,-0.433,-0.598,-0.251,-1.085,1.477,2.311,-0.224,0.276,6
Greg Monroe,PFC,MIL,81,30.2,0.698,0.969,0.448,-0.184,0.524,0.75,0.251,-0.863,-0.524,0.23,6
Clint Capela,PFC,HOU,78,25.6,0.005,1.695,-0.673,2.507,1.041,1.745,-3.394,-0.863,-0.074,0.221,6
Markieff Morris,PFC,WAS,82,28.9,0.679,0.243,0.368,-0.184,1.041,-0.324,0.476,0.498,-1.124,0.186,6
