Player.Name,Position,Team,GP,MIN,Z_PTS,Z_REB,Z_AST,Z_BLK,Z_STL,Z_FGP,Z_FTP,Z_X3PM,Z_TO,Z_AVG,Tier
Clint Capela,PFC,HOU,78,25.6,0.038,1.176,-0.646,1.496,1.395,0.995,-2.804,-0.548,-0.026,0.12,5
Robin Lopez,C,CHI,81,32.3,0.057,0.356,-0.022,1.171,-1.267,0.494,0.725,-0.548,-0.519,0.05,5
Joakim Noah,PFC,NYK,70,31,-0.629,1.319,3.097,0.357,0.508,-1.44,-1.107,-0.548,-1.175,0.042,5
Enes Kanter,C,OKC,80,32.6,1.01,1.069,-0.854,-0.782,-0.972,0.839,0.823,-0.336,-0.519,0.031,5
Jared Sullinger,PFC,TOR,77,22.6,-0.267,0.106,0.289,-0.62,0.508,-1.405,-0.213,0.514,0.466,-0.069,5
Jahlil Okafor,C,PHI,78,31.1,0.991,-0.251,-0.23,0.031,-0.676,-0.145,-0.061,-0.548,-1.175,-0.229,5
Zaza Pachulia,C,GSW,80,25.1,-0.324,0.926,0.601,-0.945,0.508,-0.404,0.564,-0.548,-0.354,0.003,6
Amir Johnson,PFC,BOS,80,22.6,-0.648,-0.215,0.393,0.031,0.212,1.167,-0.946,-0.336,0.138,-0.022,6
Zach Randolph,PFC,MEM,76,28.6,0.648,0.356,0.497,-1.271,-0.084,-0.715,0.725,-0.336,-0.19,-0.041,6
Taj Gibson,PFC,CHI,76,27.1,-0.324,-0.037,-0.126,0.194,-0.084,0.201,-0.026,-0.548,0.302,-0.05,6
Steven Adams,C,OKC,80,26.3,-0.114,0.427,-0.438,0.683,-0.38,1.34,-1.276,-0.548,-0.19,-0.055,6
Mason Plumlee,PFC,POR,81,26.9,-0.362,0.106,1.017,-0.131,0.212,0.183,-0.767,-0.548,-0.683,-0.108,6
Tyson Chandler,C,PHO,70,22.8,-0.533,0.463,-0.438,-0.457,-0.38,1.582,-0.517,-0.548,-0.19,-0.113,6
Timofey Mozgov,C,LAL,74,26.6,0.076,0.034,-0.75,0.52,-0.676,0.339,0.26,-0.548,-0.354,-0.122,6
Bismack Biyombo,PFC,ORL,79,24.2,-0.705,0.177,-1.062,0.683,-1.267,0.736,-0.839,-0.548,0.631,-0.244,6
